index,베타값,대형주,중형주,코스피,time2,time3,time4,거래량,per,IT,"화학,소재",유틸리티,에너지,필수소비재,금융,헬스케어,전기차,건설업,"통신,방송","유통,의류",코로나와 IT,코로나와 전기차,코로나와 헬스케어,,,,,,,,,,,,,,,,,,
,0.748335073,1,0,1,0,0,1,42774.48,25.16756519,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
기아차,0.854809311,1,0,1,0,0,0,1005110.821,12.83275343,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.535282887,1,0,1,1,0,0,1173016.25,10.82691303,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.913207312,1,0,1,0,1,0,1126949.439,11.14245486,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.233381298,1,0,1,0,0,1,2190897.136,6.10884712,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
현대모비스,1.120156331,1,0,1,0,0,0,248988.5726,12.27618548,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.839274297,1,0,1,1,0,0,192526.121,10.15954765,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.029093642,1,0,1,0,1,0,258098.7642,11.07717975,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.410956208,1,0,1,0,0,1,419416.68,7.553297304,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
삼성물산,1.10008184,1,0,1,0,0,0,453826.9658,17.15118138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
,1.037104673,1,0,1,1,0,0,267320.9919,13.23172982,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
,1.098899216,1,0,1,0,1,0,339915.8293,14.1156537,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
,1.2937109,1,0,1,0,0,1,637262.856,16.0754895,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
posco,1.255994057,1,0,1,0,0,0,275426.641,13.06797458,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.065143094,1,0,1,1,0,0,228508.3871,12.77862857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.892148812,1,0,1,0,1,0,277942.8049,11.00418825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.092778387,1,0,1,0,0,1,419167.576,8.139473871,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
kb금융,0.611879231,1,0,1,0,0,0,1321334.496,7.255302263,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.948758572,1,0,1,1,0,0,1071752.371,5.604359152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.946480366,1,0,1,0,1,0,1254052.22,5.496403111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.260235176,1,0,1,0,0,1,2448943.28,4.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
sk텔레콤,0.008284657,1,0,1,0,0,0,181215.0171,7.601525546,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.069553104,1,0,1,1,0,0,165244.4677,7.907842793,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.55717463,1,0,1,0,1,0,207551.6829,13.45783049,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.578991117,1,0,1,0,0,1,411978.024,14.0452818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
엔씨소프트,0.565427618,1,0,1,0,0,0,113513.5897,22.90621248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.256980267,1,0,1,1,0,0,73111.04032,26.99183092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.748051882,1,0,1,0,1,0,90503.07317,30.63569118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.954388998,1,0,1,0,0,1,127889.68,33.13881382,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
신한지주,0.555687562,1,0,1,0,0,0,1111600.496,6.889662093,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.701686977,1,0,1,1,0,0,997621.6694,6.228016386,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.87474253,1,0,1,0,1,0,1296190.033,6.042855702,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.36674116,1,0,1,0,0,1,2262035.112,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
sk,0.832150216,1,0,1,0,0,0,93121.25641,9.652818096,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.978055692,1,0,1,1,0,0,102006.7258,10.26672874,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.33001509,1,0,1,0,1,0,187980.1301,13.14357545,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.153534141,1,0,1,0,0,1,570056.848,20.50239568,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
삼성생명,0.605726352,1,0,1,0,0,0,240592.1368,12.6402405,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.814646145,1,0,1,1,0,0,182239.0565,11.27008731,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.150716435,1,0,1,0,1,0,267067.8293,12.37666761,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.385125683,1,0,1,0,0,1,872163.68,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
셀트리온헬스케어,1.24967797,1,0,0,0,0,0,1108776.162,246.3328389,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.118867511,1,0,0,1,0,0,696183.75,386.9283955,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.813588883,1,0,0,0,1,0,1370836.317,140.4240777,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.080118196,1,0,0,0,0,1,3437071.704,111.7549395,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
씨젠,0.913450621,1,0,0,0,0,0,178235.6325,73.28366645,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.986236795,1,0,0,1,0,0,138477.4194,39.04710036,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,-0.223256377,1,0,0,0,1,0,1783653.122,23.5907234,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.429037404,1,0,0,0,0,1,3681737.808,20.61690791,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
에이치엘비,1.492849059,1,0,0,0,0,0,798024.906,300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.014607203,1,0,0,1,0,0,1223080.363,350,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,2.31366962,1,0,0,0,1,0,1895427.057,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.993827736,1,0,0,0,0,1,1202736.408,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
알테오젠,0.849117479,1,0,0,0,0,0,146998.1026,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,2.266122877,1,0,0,1,0,0,207423.4919,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.886068082,1,0,0,0,1,0,575195.0813,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.468074285,1,0,0,0,0,1,624208.72,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
셀트리온제약,1.411368129,1,0,0,0,0,0,261858.1368,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
